area,count_births,count_deaths,count_pop,count_breastf,count_job_seekers,ratio_low_birthweight,ratio_hosp__acc_adm,ratio_hosp_planned_adm,ratio_fires,ratio_dis_allow,count_house_sales,house_sales_prices_mean
Hawick and Denholm,85,84,9477,33,295,2.67E0,1223,10576,1.439E2,6837,73,167170
Hawick and Hermitage,87,140,8642,27,215,2.92E0,1385,11719,1.229E2,6.0431E3,103,104572
Hazlehead / Ashley / Queens Cross,212,187,19761,155,135,1.14E0,1083,9793,1.063E2,1.9248E3,401,280911
Heldon and Laich,143,140,15206,69,230,1.01E0,767,10647,52,4.1889E3,219,166465
Helensburgh Central,84,143,8991,43,245,2.37E0,1249,19714,1.814E2,5.0286E3,160,165255
Helensburgh and Lomond South,89,42,7347,47,110,1.83E0,889,17322,5.39E1,3.7062E3,79,183748
Highland,63,116,9327,51,120,1.17E0,1330,7841,6.44E1,3.3089E3,109,237878
Hillhead,271,198,27500,197,720,1.94E0,1150,10587,1.311E2,4.9292E3,492,221499
Hilton / Woodside / Stockethill,244,187,16052,116,350,2.4E0,1606,11739,1.805E2,6555,272,163018
"Houston, Crosslee & Linwood",166,137,16219,50,425,3.39E0,1126,15208,7.79E1,7378,134,164910
Howe of Fife and Tay Coast,110,142,15279,78,255,1.5E0,1199,10240,59,4.2017E3,144,163539
"Huntly, Strathbogie and Howe of Alford",140,162,15707,77,180,1.17E0,1229,11895,6.14E1,3.9228E3,181,208652
Inverclyde East,160,164,17070,40,670,3.76E0,1617,16832,9.37E1,9623,169,184411
Inverclyde East Central,170,198,14415,28,685,3.48E0,1641,14221,1.385E2,10267,117,96476
Inverclyde North,127,280,15553,45,520,3.78E0,1805,15986,1.414E2,9358,141,119935
Inverclyde South,113,126,11309,18,515,1.58E0,1834,16193,6.58E1,9.6997E3,78,66824
Inverclyde South West,129,85,11551,36,385,2.78E0,1296,15105,4.92E1,7457,137,172349
Inverclyde West,67,103,10792,30,260,2.8E0,1336,17464,9.27E1,5.1546E3,138,121974
Inverkeithing and Dalgety Bay,161,148,16924,91,380,6.6E-1,963,12411,7.09E1,3.5533E3,198,154130
Inverleith,323,320,32494,258,465,8.7E-1,1183,10005,7.11E1,2.7598E3,622,275224
Inverness Central,167,181,13990,83,580,1.27E0,1782,10266,1.293E2,8.9351E3,130,140890
Inverness Millburn,109,93,8758,61,100,1,1278,10795,4.96E1,4.8447E3,74,177463
Inverness Ness-Side,125,105,11824,66,185,2.72E0,1180,10314,6.72E1,4.7962E3,117,154426
Inverness South,197,86,14470,120,120,1.6E0,901,8157,1.26E1,3.9739E3,286,181245
Inverness West,108,105,8588,42,155,3.7E-1,1281,10467,2.33E1,7.2526E3,114,142742
Inverurie and District,174,150,14123,82,95,1.66E0,1296,11590,9.14E1,4.4294E3,198,172140
Irvine East,205,170,20033,54,665,2.11E0,1411,11863,5.98E1,7.4589E3,151,98958
Irvine Valley,141,139,15255,37,480,3.09E0,1586,12824,7.12E1,6.4233E3,132,116644
Irvine West,225,258,19548,49,995,2.78E0,1850,13956,1.589E2,9.3321E3,160,78348
Isle of Bute,50,92,6403,18,230,1.72E0,1785,14816,141,7.0948E3,98,98930
Jedburgh and District,67,104,9191,30,130,9.2E-1,1572,12054,7.49E1,4.5383E3,73,158711
"Johnstone North, Kilbarchan & Lochwinnoch",156,149,13895,60,455,1.88E0,1259,15146,1.891E2,9.3835E3,139,116314
"Johnstone South, Elderslie & Howwood",187,182,16459,41,605,2.27E0,1373,16176,1.399E2,8.7171E3,136,109844
Keith and Cullen,93,127,9729,41,190,2.9E0,1028,11528,6.42E1,5.0556E3,129,130779
Kelso and District,83,132,10279,40,155,1.69E0,1279,10086,2.86E1,4.0881E3,95,176060
Kilbirnie and Beith,127,140,14327,43,590,2.52E0,1699,11622,7.54E1,7.1166E3,149,111519
Kilmarnock East and Hurlford,164,145,14774,39,575,2.3E0,1651,11390,8.18E1,6.8306E3,133,88379
